"subject","age","gender","motherTongue","Dialect","parents","raised","education","linguisticEducation","order","condition","item","rating","rt"
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",217,"gf",208,7,6294
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",67,"shortNaarNoI",13,6,14736
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",83,"shortSubjectnoI",25,5,11900
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",201,"BF",323,2,9471
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",198,"BF",320,3,7316
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",190,"BF",312,4,8848
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",141,"shortWhetherIsl",23,7,5792
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",219,"gf",210,6,12891
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",131,"shortWhetherNoI",21,6,15883
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",204,"BF",326,3,7114
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",153,"shortAdjunctIsl",39,6,12502
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",186,"BF",308,5,11747
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",24,"longFordiNoI",2,7,7157
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",136,"longWhetherNoI",22,6,7039
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",61,"shortNaarIsl",11,1,10350
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",222,"gf",213,4,18366
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",34,"longFordiIsl",4,2,11674
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",109,"longSubjectnoI",31,5,27332
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",180,"BF",302,1,7025
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",188,"BF",310,5,7871
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",93,"shortSubjectnoI",27,4,21734
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",218,"gf",209,7,8521
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",98,"longSubjectIsl",28,3,26443
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",200,"BF",322,4,35920
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",176,"longAdjunctNoI",34,6,15384
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",213,"gf",204,7,8155
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",210,"gf",201,3,5867
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",207,"BF",329,1,7703
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",114,"longSubjectIsl",32,2,18152
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",192,"BF",314,4,14642
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",115,"shortWhetherNoI",17,7,8493
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",203,"BF",325,5,16072
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",206,"BF",328,4,7686
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",10,"introItems",501,1,6507
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",11,"introItems",502,1,13816
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",12,"introItems",503,4,15016
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",13,"introItems",504,6,13612
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",14,"introItems",505,7,6071
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",179,"BF",301,1,6164
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",99,"shortSubjectnoI",29,7,8745
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",205,"BF",327,7,22990
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",125,"shortWhetherIsl",19,7,7937
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",197,"BF",319,3,17113
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",150,"longAdjunctIsla",40,4,12094
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",214,"gf",205,7,13055
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",156,"longAdjunctNoI",38,7,11519
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",216,"gf",207,7,13459
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",18,"localTop",604,5,19145
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",171,"shortAdjunctNoI",33,6,11259
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",166,"longAdjunctIsla",36,7,21421
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",208,"BF",331,2,17383
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",182,"BF",304,2,15071
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",77,"shortNaarIsl",15,7,21058
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",224,"gf",215,5,24983
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",104,"shortSubjectIsl",30,7,15687
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",82,"longNaarIsl",16,3,7783
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",195,"BF",317,4,9969
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",17,"localTop",603,4,5793
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",130,"longWhetherIsla",20,4,10160
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",202,"BF",324,1,8158
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",45,"shortFordiIsl",7,7,10664
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",215,"gf",206,6,36361
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",66,"longNaarIsl",12,7,21368
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",191,"BF",313,2,10368
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",194,"BF",316,1,12336
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",193,"BF",315,6,20497
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",189,"BF",311,4,12528
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",35,"shortFordiNoI",5,6,6717
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",211,"gf",202,4,25538
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",209,"BF",332,7,13951
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",19,"shortFordiNoI",1,7,14335
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",184,"BF",306,4,7580
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",56,"longNaarNoI",10,6,8104
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",169,"shortAdjunctIsl",35,6,16442
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",223,"gf",214,5,17317
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",199,"BF",321,3,12737
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",120,"longWhetherNoI",18,5,7910
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",212,"gf",203,7,12570
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",183,"BF",305,2,6383
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",72,"longNaarNoI",14,5,10234
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",29,"shortFordiIsl",3,7,11966
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",16,"localTop",602,5,21517
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",187,"BF",309,1,8268
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",88,"shortSubjectIsl",26,6,23903
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",51,"shortNaarNoI",9,7,4959
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",221,"gf",212,7,9732
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",159,"shortAdjunctNoI",37,6,9658
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",40,"longFordiNoI",6,7,13790
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",220,"gf",211,7,20748
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",196,"BF",318,2,10217
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",185,"BF",307,1,9759
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",146,"longWhetherIsla",24,7,10459
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",15,"localTop",601,7,7361
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",181,"BF",303,4,9885
"14996192040428d6aa54af802b1825110513cd972e",18,"F","norsk","Nordnorsk","Nordnorsk&sogning","norsk&engelsk","VGS","N",50,"longFordiIsl",8,2,11810
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",72,"longNaarNoI",14,7,12546
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",224,"gf",215,2,18404
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",189,"BF",311,5,21972
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",223,"gf",214,6,20413
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",188,"BF",310,1,8078
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",190,"BF",312,5,24913
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",19,"shortFordiNoI",1,1,16867
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",10,"introItems",501,1,23319
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",11,"introItems",502,2,9402
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",219,"gf",210,6,26276
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",195,"BF",317,2,9719
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",67,"shortNaarNoI",13,7,11968
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",34,"longFordiIsl",4,2,13736
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",215,"gf",206,7,18483
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",99,"shortSubjectnoI",29,6,13916
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",77,"shortNaarIsl",15,7,34003
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",197,"BF",319,1,10348
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",114,"longSubjectIsl",32,2,36636
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",24,"longFordiNoI",2,7,15242
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",18,"localTop",604,6,26392
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",169,"shortAdjunctIsl",35,4,28567
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",179,"BF",301,1,10153
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",45,"shortFordiIsl",7,7,11900
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",40,"longFordiNoI",6,7,7031
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",125,"shortWhetherIsl",19,7,16357
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",199,"BF",321,1,14128
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",192,"BF",314,2,19573
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",182,"BF",304,1,23506
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",183,"BF",305,1,10604
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",159,"shortAdjunctNoI",37,7,29057
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",198,"BF",320,1,6158
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",93,"shortSubjectnoI",27,6,18389
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",202,"BF",324,1,17725
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",104,"shortSubjectIsl",30,6,12934
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",210,"gf",201,2,6512
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",196,"BF",318,2,16210
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",12,"introItems",503,4,20574
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",193,"BF",315,1,10507
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",221,"gf",212,4,20247
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",14,"introItems",505,7,9938
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",209,"BF",332,1,11518
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",83,"shortSubjectnoI",25,6,23813
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",136,"longWhetherNoI",22,5,19140
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",15,"localTop",601,6,22955
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",204,"BF",326,5,24718
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",130,"longWhetherIsla",20,2,9116
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",216,"gf",207,7,10372
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",150,"longAdjunctIsla",40,6,12779
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",201,"BF",323,3,11275
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",82,"longNaarIsl",16,6,7215
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",13,"introItems",504,1,39196
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",115,"shortWhetherNoI",17,7,7011
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",213,"gf",204,4,18050
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",120,"longWhetherNoI",18,7,7616
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",88,"shortSubjectIsl",26,6,18251
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",211,"gf",202,5,8696
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",176,"longAdjunctNoI",34,6,21734
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",205,"BF",327,6,12269
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",50,"longFordiIsl",8,1,12071
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",187,"BF",309,1,46536
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",98,"longSubjectIsl",28,2,24453
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",222,"gf",213,3,35885
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",61,"shortNaarIsl",11,4,16046
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",184,"BF",306,5,17111
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",194,"BF",316,1,9333
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",109,"longSubjectnoI",31,6,8440
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",212,"gf",203,5,25038
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",203,"BF",325,2,11521
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",153,"shortAdjunctIsl",39,6,7540
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",185,"BF",307,1,10862
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",220,"gf",211,7,6081
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",141,"shortWhetherIsl",23,6,17147
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",180,"BF",302,1,8226
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",56,"longNaarNoI",10,6,18154
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",186,"BF",308,5,14754
"1499619683d348ebea400f14a75d364c34485a4162",20,"M","norsk","Tromsø/Finnsnes/Troms","norsk","norsk","VGS","N",51,"shortNaarNoI",9,7,7079
